Title.E text="Equipment"
Resume.E text="Prepare yourself to embark on mankind's most thrilling adventure yet."
Instructions name="%lvl%/help/help.%lng%.txt"
SoluceFile name="%lvl%/help/soluce.%lng%.txt"
HelpFile name="cbot.txt"
EndingFile win="other/win101.txt" lost="other/lost000.txt"
MessageDelay factor=5

Audio filename="music002.ogg"

#Include file="%chap%/planet.txt"
TerrainRelief image="relief11.png" factor=1.0
TerrainResource image="res00.png"
#Include file="%chap%/terrain.txt"
TerrainCreate

GroundSpot pos= 0; 0 radius=40 color=0.863;0.667;0.627 // vaisseau
GroundSpot pos= -25; -8 radius=50 color=0.745;0.902;0.863 // construction
GroundSpot pos=-125;100 radius=40 color=0.745;0.863;0.627
GroundSpot pos=-107; 58 radius=20 color=0.745;0.863;0.627
GroundSpot pos= -20; 30 radius=40 color=0.745;0.863;0.627
GroundSpot pos= -48; 32 radius=20 color=0.745;0.863;0.627
GroundSpot pos= -44;-20 radius=20 color=0.745;0.863;0.627
GroundSpot pos= 10;-60 radius=40 color=0.745;0.863;0.627
GroundSpot pos= -99;-45 radius=40 color=0.745;0.863;0.627 // bbox
GroundSpot pos= -99;-22 radius=50 color=0.902;0.824;0.745

BeginObject
CreateObject pos=-115.0;115.0 dir=0.3 type=Me option=2
CreateFog pos=-129; 48 height=1.0 dim=15 delay=4.0 type=6
CreateFog pos=-129; 48 height=2.0 dim=15 delay=5.0 type=7
CreateFog pos= -94; 48 height=0.5 dim=10 delay=4.0 type=6
CreateFog pos= -94; 48 height=0.6 dim=10 delay=5.0 type=7
CreateFog pos= -75; 41 height=1.4 dim=10 delay=4.0 type=6
CreateFog pos= -75; 41 height=2.5 dim=10 delay=5.0 type=7
CreateFog pos= -56; 56 height=0.4 dim=10 delay=4.0 type=6
CreateFog pos= -56; 56 height=0.5 dim=10 delay=5.0 type=7
CreateFog pos= -30; 36 height=0.2 dim=20 delay=4.0 type=6
CreateFog pos= -30; 36 height=0.3 dim=20 delay=5.0 type=7
CreateFog pos= -40; 2 height=0.2 dim=20 delay=4.0 type=6
CreateFog pos= -40; 2 height=0.3 dim=20 delay=5.0 type=7
CreateFog pos= 15; -16 height=0.7 dim=20 delay=4.0 type=6
CreateFog pos= 15; -16 height=0.8 dim=20 delay=5.0 type=7
CreateFog pos= 7; 20 height=0.2 dim=20 delay=4.0 type=6
CreateFog pos= 7; 20 height=0.3 dim=20 delay=5.0 type=7
CreateFog pos= 28; 10 height=10.0 dim=30 delay=4.0 type=6
CreateFog pos= 28; 10 height=11.0 dim=30 delay=5.0 type=7
CreateFog pos= -22; -19 height=25.0 dim=50 delay=4.0 type=6
CreateFog pos= -22; -19 height=26.0 dim=50 delay=5.0 type=7
CreateFog pos= -48; 26 height=5.0 dim=50 delay=4.0 type=6
CreateFog pos= -48; 26 height=6.0 dim=50 delay=5.0 type=7
CreateFog pos= -38; 8 height=2.0 dim=50 delay=4.0 type=6
CreateFog pos= -38; 8 height=3.0 dim=50 delay=5.0 type=7
CreateFog pos= -4; 20 height=2.0 dim=20 delay=4.0 type=6
CreateFog pos= -4; 20 height=2.5 dim=20 delay=5.0 type=7
CreateFog pos= -35; -39 height=0.2 dim=10 delay=4.0 type=6
CreateFog pos= -35; -39 height=0.3 dim=10 delay=5.0 type=7

CreateLight dir= 0.0;-1.0; 0.0 color= 0.63; 0.63; 0.63 type=Terrain
CreateLight dir= 1.0; 0.0;-1.0 color=-0.70;-0.70;-0.70 type=Terrain
CreateLight dir=-1.0; 0.0; 1.0 color= 1.40; 1.40; 1.40 type=Terrain
CreateLight dir=-1.0;-1.0; 1.0 color= 0.56; 0.56; 0.56 type=Object
CreateLight dir= 1.0;-1.0; 1.0 color= 0.32; 0.32; 0.32 type=Object
CreateLight dir=-1.0;-1.0;-1.0 color= 0.32; 0.32; 0.32 type=Object
CreateLight dir= 1.0;-1.0;-1.0 color= 0.16; 0.16; 0.16 type=Object

MapColor floor=0.647;0.557;0.420 water=0.604;0.922;1.000
MapZoom factor=2

EndMissionTake pos=0.00;0.00 dist=25000.00 type=Me lost=0
EndMissionTake pos=-52.8;38.0 dist=2 type=Me min=1
EndMissionDelay win=1.0

Camera eye=-125.0;20.0;133.0 lookat=-115.0;0.0;115.0 delay=8
